"Add to
estimate";Instance;vCPU(s);RAM;"Temporary
storage";Pay as you go
;B1LS;1;0.5 GiB;4 GiB;$0.0085/hour
;B1S;1;1 GiB;4 GiB;$0.0169/hour
;B1MS;1;2 GiB;4 GiB;$0.0338/hour
;B2S;2;4 GiB;8 GiB;$0.0676/hour
;B2MS;2;8 GiB;16 GiB;$0.135/hour
;B4MS;4;16 GiB;32 GiB;$0.27/hour
;B8MS;8;32 GiB;64 GiB;$0.541/hour
;B12MS;12;48 GiB;96 GiB;$0.811/hour
;B16MS;16;64 GiB;128 GiB;$1.082/hour
;B20MS;20;80 GiB;160 GiB;$1.352/hour
;A1 v2;1;2 GiB;10 GiB;$0.065/hour
;A2 v2;2;4 GiB;20 GiB;$0.1378/hour
;A2m v2;2;16 GiB;20 GiB;$0.2314/hour
;A4 v2;4;8 GiB;40 GiB;$0.2886/hour
;A4m v2;4;32 GiB;40 GiB;$0.4862/hour
;A8 v2;8;16 GiB;80 GiB;$0.6071/hour
;A8m v2;8;64 GiB;80 GiB;$1.0218/hour
;D2 v3;2;8 GiB;50 GiB;$0.1456/hour
;D4 v3;4;16 GiB;100 GiB;$0.291/hour
;D8 v3;8;32 GiB;200 GiB;$0.582/hour
;D16 v3;16;64 GiB;400 GiB;$1.1648/hour
;D32 v3;32;128 GiB;800 GiB;$2.3296/hour
;D48 v3;48;192 GiB;1,200 GiB;$3.494/hour
;D64 v3;64;256 GiB;1,600 GiB;$4.659/hour
;D2s v3;2;8 GiB;16 GiB;$0.1456/hour
;D4s v3;4;16 GiB;32 GiB;$0.291/hour
;D8s v3;8;32 GiB;64 GiB;$0.582/hour
;D16s v3;16;64 GiB;128 GiB;$1.1648/hour
;D32s v3;32;128 GiB;256 GiB;$2.3296/hour
;D48s v3;48;192 GiB;384 GiB;$3.494/hour
;D64s v3;64;256 GiB;512 GiB;$4.659/hour
;D1 v2;1;3.5 GiB;50 GiB;$0.114/hour
;D2 v2;2;7 GiB;100 GiB;$0.228/hour
;D3 v2;4;14 GiB;200 GiB;$0.456/hour
;D4 v2;8;28 GiB;400 GiB;$0.912/hour
;D5 v2;16;56 GiB;800 GiB;$1.824/hour
;DS1 v2;1;3.5 GiB;7 GiB;$0.114/hour
;DS2 v2;2;7 GiB;14 GiB;$0.228/hour
;DS3 v2;4;14 GiB;28 GiB;$0.456/hour
;DS4 v2;8;28 GiB;56 GiB;$0.912/hour
;DS5 v2;16;56 GiB;112 GiB;$1.824/hour
;F2s v2;2;4 GiB;16 GiB;$0.131/hour
;F4s v2;4;8 GiB;32 GiB;$0.262/hour
;F8s v2;8;16 GiB;64 GiB;$0.524/hour
;F16s v2;16;32 GiB;128 GiB;$1.047/hour
;F32s v2;32;64 GiB;256 GiB;$2.094/hour
;F48s v2;48;96 GiB;384 GiB;$3.142/hour
;F64s v2;64;128 GiB;512 GiB;$4.189/hour
;F72s v2;72;144 GiB;576 GiB;$4.712/hour
;F1;1;2 GiB;16 GiB;$0.0656/hour
;F2;2;4 GiB;32 GiB;$0.131/hour
;F4;4;8 GiB;64 GiB;$0.262/hour
;F8;8;16 GiB;128 GiB;$0.525/hour
;F16;16;32 GiB;256 GiB;$1.05/hour
;F1s;1;2 GiB;4 GiB;$0.0656/hour
;F2s;2;4 GiB;8 GiB;$0.131/hour
;F4s;4;8 GiB;16 GiB;$0.262/hour
;F8s;8;16 GiB;32 GiB;$0.525/hour
;F16s;16;32 GiB;64 GiB;$1.05/hour
